image domain,model,human,kappa,human ceiling,NormKappa,C_obs,C_exp 
edges,alexnet,subject-01,0.017400204708290696,0.31843643384059334,0.03083493106490703,0.175,0.16039062499999998 
edges,alexnet,subject-02,0.009795191451469292,0.31843643384059334,0.017358074702978163,0.13125,0.12265625 
edges,alexnet,subject-03,0.011900468806346952,0.31843643384059334,0.02108884012777985,0.14375,0.13343749999999996 
edges,alexnet,subject-04,0.026974006866110838,0.31843643384059334,0.047800681440520965,0.225,0.203515625 
edges,alexnet,subject-05,0.018542798276830804,0.31843643384059334,0.03285972298613962,0.18125,0.16578125000000005 
edges,alexnet,subject-06,0.011900468806346952,0.31843643384059334,0.02108884012777985,0.14375,0.13343749999999996 
edges,alexnet,subject-07,0.033502538071065964,0.31843643384059334,0.05936990220744498,0.25625,0.23046875 
edges,alexnet,subject-08,0.006732534755617651,0.31843643384059334,0.01193073579086382,0.1125,0.10648437500000008 
edges,alexnet,subject-09,0.047369798482072636,0.31843643384059334,0.08394409693681894,0.43125,0.4029687500000001 
edges,alexnet,subject-10,0.012972874897940604,0.31843643384059334,0.022989252706956054,0.15,0.13882812500000005 
edges,resnet18,subject-01,0.03913522169952961,0.31843643384059334,0.06935159002697688,0.25,0.21945312499999997 
edges,resnet18,subject-02,0.022136669874879663,0.31843643384059334,0.039228428690456014,0.20625,0.18828125 
edges,resnet18,subject-03,0.011288439081354648,0.31843643384059334,0.020004261256657732,0.20625,0.19718749999999996 
edges,resnet18,subject-04,0.060304142632406924,0.31843643384059334,0.10686506924327177,0.3,0.255078125 
edges,resnet18,subject-05,0.04167505536541165,0.31843643384059334,0.07385243339731308,0.25625,0.22390625000000003 
edges,resnet18,subject-06,0.02685869988322309,0.31843643384059334,0.04759634574859937,0.21875,0.19718749999999996 
edges,resnet18,subject-07,0.05729729729729727,0.31843643384059334,0.10153663373430519,0.31875,0.27734375 
edges,resnet18,subject-08,0.015244768487832521,0.31843643384059334,0.02701527903282697,0.1875,0.17492187500000006 
edges,resnet18,subject-09,0.06275249124697006,0.31843643384059334,0.11120379180536577,0.45625,0.41984375 
edges,resnet18,subject-10,0.029259223015950665,0.31843643384059334,0.05185031669654465,0.225,0.20164062500000002 
edges,resnet34,subject-01,0.033398821218074706,0.31843643384059334,0.05918610540356423,0.23125,0.20468749999999997 
edges,resnet34,subject-02,0.018867924528301886,0.31843643384059334,0.03343587974518773,0.1875,0.171875 
edges,resnet34,subject-03,0.007633587786259582,0.31843643384059334,0.01352749333202259,0.1875,0.18124999999999997 
edges,resnet34,subject-04,0.05154639175257732,0.31843643384059334,0.09134544466468814,0.28125,0.2421875 
edges,resnet34,subject-05,0.035573122529644216,0.31843643384059334,0.06303918829428666,0.2375,0.20937500000000003 
edges,resnet34,subject-06,0.022900763358778678,0.31843643384059334,0.04058247999606765,0.2,0.18124999999999997 
edges,resnet34,subject-07,0.04680851063829786,0.31843643384059334,0.08294943783593381,0.3,0.265625 
edges,resnet34,subject-08,0.012987012987012941,0.31843643384059334,0.02301430683759667,0.16875,0.15781250000000005 
edges,resnet34,subject-09,0.037433155080213866,0.31843643384059334,0.06633535500248469,0.4375,0.415625 
edges,resnet34,subject-10,0.02495201535508632,0.31843643384059334,0.044217506995075435,0.20625,0.18593750000000003 
edges,resnet50,subject-01,0.026073619631901863,0.31843643384059334,0.04620510375830395,0.20625,0.18499999999999997 
edges,resnet50,subject-02,0.01470588235294119,0.31843643384059334,0.026060318036690466,0.1625,0.15 
edges,resnet50,subject-03,0.0029761904761905116,0.31843643384059334,0.005274111983615985,0.1625,0.15999999999999998 
edges,resnet50,subject-04,0.040322580645161255,0.31843643384059334,0.07145571074576405,0.25625,0.225 
edges,resnet50,subject-05,0.0277777777777777,0.31843643384059334,0.04922504518041514,0.2125,0.19000000000000006 
edges,resnet50,subject-06,0.01785714285714287,0.31843643384059334,0.03164467190169556,0.175,0.15999999999999998 
edges,resnet50,subject-07,0.03333333333333336,0.31843643384059334,0.059070054216498386,0.275,0.25 
edges,resnet50,subject-08,0.010115606936416098,0.31843643384059334,0.017925883505006568,0.14375,0.13500000000000006 
edges,resnet50,subject-09,0.02542372881355925,0.31843643384059334,0.045053431182074874,0.425,0.41000000000000003 
edges,resnet50,subject-10,0.01946107784431133,0.31843643384059334,0.03448700770124894,0.18125,0.16500000000000004 
edges,resnet101,subject-01,0.03153373035243588,0.31843643384059334,0.0558809748470048,0.225,0.19976562499999995 
edges,resnet101,subject-02,0.017806935332708516,0.31843643384059334,0.031555699065983156,0.18125,0.16640625 
edges,resnet101,subject-03,0.021615472127417563,0.31843643384059334,0.03830481331445292,0.19375,0.17593749999999997 
edges,resnet101,subject-04,0.04869297796002054,0.31843643384059334,0.08628890544183515,0.275,0.237890625 
edges,resnet101,subject-05,0.033588685916322907,0.31843643384059334,0.059522564944143846,0.23125,0.20453125000000003 
edges,resnet101,subject-06,0.021615472127417563,0.31843643384059334,0.03830481331445292,0.19375,0.17593749999999997 
edges,resnet101,subject-07,0.060317460317460346,0.31843643384059334,0.10688866953461608,0.30625,0.26171875 
edges,resnet101,subject-08,0.01225467612641661,0.31843643384059334,0.02171653149579171,0.1625,0.15210937500000005 
edges,resnet101,subject-09,0.07175246732461975,0.31843643384059334,0.1271526640509844,0.45625,0.4142187500000001 
edges,resnet101,subject-10,0.02355297034423571,0.31843643384059334,0.04173825705580742,0.2,0.18070312500000002 
edges,vgg11,subject-01,0.02787154016780793,0.31843643384059334,0.04939120166429177,0.2125,0.18992187499999996 
edges,vgg11,subject-02,0.015726179463459788,0.31843643384059334,0.027868388205748572,0.16875,0.15546875 
edges,vgg11,subject-03,0.004118307749906448,0.31843643384059334,0.007298059862015973,0.16875,0.16531249999999997 
edges,vgg11,subject-04,0.04308160162189559,0.31843643384059334,0.07634497630616865,0.2625,0.229296875 
edges,vgg11,subject-05,0.02969144187851732,0.31843643384059334,0.05261625244590082,0.21875,0.19484375000000004 
edges,vgg11,subject-06,0.019093972295020616,0.31843643384059334,0.03383645936025555,0.18125,0.16531249999999997 
edges,vgg11,subject-07,0.03664921465968586,0.31843643384059334,0.06494613290819189,0.28125,0.25390625 
edges,vgg11,subject-08,0.010819165378670736,0.31843643384059334,0.019172660564860264,0.15,0.14070312500000004 
edges,vgg11,subject-09,0.012476771967082436,0.31843643384059334,0.022110107896273382,0.41875,0.4114062500000001 
edges,vgg11,subject-10,0.020807833537331642,0.31843643384059334,0.036873595655341575,0.1875,0.17023437500000005 
edges,vgg13,subject-01,0.03153373035243588,0.31843643384059334,0.0558809748470048,0.225,0.19976562499999995 
edges,vgg13,subject-02,0.017806935332708516,0.31843643384059334,0.031555699065983156,0.18125,0.16640625 
edges,vgg13,subject-03,0.006446719757299993,0.31843643384059334,0.011424242567468447,0.18125,0.17593749999999997 
edges,vgg13,subject-04,0.048692977960020506,0.31843643384059334,0.0862889054418351,0.275,0.23789062500000002 
edges,vgg13,subject-05,0.03358868591632287,0.31843643384059334,0.059522564944143784,0.23125,0.20453125000000005 
edges,vgg13,subject-06,0.021615472127417563,0.31843643384059334,0.03830481331445292,0.19375,0.17593749999999997 
edges,vgg13,subject-07,0.0433862433862434,0.31843643384059334,0.07688483247226771,0.29375,0.26171875 
edges,vgg13,subject-08,0.01225467612641661,0.31843643384059334,0.02171653149579171,0.1625,0.15210937500000005 
edges,vgg13,subject-09,0.029074419845291983,0.31843643384059334,0.051522826697238976,0.43125,0.4142187500000001 
edges,vgg13,subject-10,0.02355297034423571,0.31843643384059334,0.04173825705580742,0.2,0.18070312500000002 
edges,vgg16,subject-01,0.03719912472647704,0.31843643384059334,0.06592062943197848,0.24375,0.21453124999999998 
edges,vgg16,subject-02,0.02103250478011475,0.31843643384059334,0.03727173593010416,0.2,0.1828125 
edges,vgg16,subject-03,0.010054137664346543,0.31843643384059334,0.017816953707992647,0.2,0.19187499999999996 
edges,vgg16,subject-04,0.05735140771637122,0.31843643384059334,0.10163252289595646,0.29375,0.25078125 
edges,vgg16,subject-05,0.039615846338535356,0.31843643384059334,0.07020330573149251,0.25,0.21906250000000005 
edges,vgg16,subject-06,0.025522041763341108,0.31843643384059334,0.04522765172028882,0.2125,0.19187499999999996 
edges,vgg16,subject-07,0.053763440860215055,0.31843643384059334,0.09527428099435216,0.3125,0.2734375 
edges,vgg16,subject-08,0.014481850667669632,0.31843643384059334,0.025663311122834334,0.18125,0.16921875000000008 
edges,vgg16,subject-09,0.05427189682966137,0.31843643384059334,0.09617531664480904,0.45,0.4184375000000001 
edges,vgg16,subject-10,0.027804783200466584,0.31843643384059334,0.0492729015338863,0.21875,0.19640625000000006 
edges,vgg19,subject-01,0.029691441878517424,0.31843643384059334,0.052616252445901006,0.21875,0.19484374999999995 
edges,vgg19,subject-02,0.016759776536312856,0.31843643384059334,0.02970002725969191,0.175,0.16093749999999998 
edges,vgg19,subject-03,0.005275056518462752,0.31843643384059334,0.009347936236220631,0.175,0.17062499999999994 
edges,vgg19,subject-04,0.045871559633027525,0.31843643384059334,0.08128906543554817,0.26875,0.23359375 
edges,vgg19,subject-05,0.031628270206950394,0.31843643384059334,0.05604850907695856,0.225,0.19968750000000002 
edges,vgg19,subject-06,0.02034664657121333,0.31843643384059334,0.03605632548256504,0.1875,0.17062499999999994 
edges,vgg19,subject-07,0.03999999999999997,0.31843643384059334,0.07088406505979795,0.2875,0.2578125 
edges,vgg19,subject-08,0.011532125205930758,0.31843643384059334,0.020436097834373307,0.15625,0.14640625000000004 
edges,vgg19,subject-09,0.02075572112825965,0.31843643384059334,0.03678124717046453,0.425,0.4128125 
edges,vgg19,subject-10,0.022171688459351906,0.31843643384059334,0.039290485180956826,0.19375,0.17546875 
edges,densenet121,subject-01,0.03153373035243588,0.31843643384059334,0.0558809748470048,0.225,0.19976562499999995 
edges,densenet121,subject-02,0.017806935332708516,0.31843643384059334,0.031555699065983156,0.18125,0.16640625 
edges,densenet121,subject-03,0.006446719757299993,0.31843643384059334,0.011424242567468447,0.18125,0.17593749999999997 
edges,densenet121,subject-04,0.048692977960020506,0.31843643384059334,0.0862889054418351,0.275,0.23789062500000002 
edges,densenet121,subject-05,0.03358868591632287,0.31843643384059334,0.059522564944143784,0.23125,0.20453125000000005 
edges,densenet121,subject-06,0.021615472127417563,0.31843643384059334,0.03830481331445292,0.19375,0.17593749999999997 
edges,densenet121,subject-07,0.0433862433862434,0.31843643384059334,0.07688483247226771,0.29375,0.26171875 
edges,densenet121,subject-08,0.01225467612641661,0.31843643384059334,0.02171653149579171,0.1625,0.15210937500000005 
edges,densenet121,subject-09,0.09309149106428369,0.31843643384059334,0.16496758272785722,0.46875,0.4142187500000001 
edges,densenet121,subject-10,0.02355297034423571,0.31843643384059334,0.04173825705580742,0.2,0.18070312500000002 
edges,densenet169,subject-01,0.035287140456657116,0.31843643384059334,0.06253239899759783,0.2375,0.209609375 
edges,densenet169,subject-02,0.019943019943019957,0.31843643384059334,0.03534105807824689,0.19375,0.17734375 
edges,densenet169,subject-03,0.008835958509412267,0.31843643384059334,0.015658216446171373,0.19375,0.18656249999999996 
edges,densenet169,subject-04,0.05443234836702951,0.31843643384059334,0.09645965307515274,0.2875,0.246484375 
edges,densenet169,subject-05,0.03758202425929602,0.31843643384059334,0.06659916631687116,0.24375,0.21421875000000004 
edges,densenet169,subject-06,0.024202842873607404,0.31843643384059334,0.042889897222121394,0.20625,0.18656249999999996 
edges,densenet169,subject-07,0.050267379679144415,0.31843643384059334,0.08907890528905102,0.30625,0.26953125 
edges,densenet169,subject-08,0.013729335948444867,0.31843643384059334,0.024329778564934734,0.175,0.16351562500000005 
edges,densenet169,subject-09,0.06727418922540859,0.31843643384059334,0.11921670014747561,0.45625,0.4170312500000001 
edges,densenet169,subject-10,0.026369168356997905,0.31843643384059334,0.046728846134755156,0.2125,0.19117187500000005 
silhouette,alexnet,subject-01,0.07473309608540923,0.47570932146476874,0.10835330035093813,0.35,0.2975 
silhouette,alexnet,subject-02,0.01935483870967742,0.47570932146476874,0.02806200681899873,0.40625,0.39453125 
silhouette,alexnet,subject-03,0.07473309608540923,0.47570932146476874,0.10835330035093813,0.35,0.2975 
silhouette,alexnet,subject-04,0.08842297174111217,0.47570932146476874,0.1282018451910198,0.375,0.31437499999999996 
silhouette,alexnet,subject-05,0.09195138729649159,0.47570932146476874,0.13331759029541124,0.38125,0.31859375 
silhouette,alexnet,subject-06,0.09875359539789064,0.47570932146476874,0.14317991015190618,0.4125,0.348125 
silhouette,alexnet,subject-07,0.1139824642362713,0.47570932146476874,0.16525979557996706,0.4,0.32281250000000006 
silhouette,alexnet,subject-08,0.19873484449130205,0.47570932146476874,0.2881397589998578,0.525,0.40718750000000004 
silhouette,alexnet,subject-09,0.08056651961922434,0.47570932146476874,0.11681100818511286,0.38125,0.3270312500000001 
silhouette,alexnet,subject-10,0.0662139219015281,0.47570932146476874,0.0960016022755221,0.3125,0.26374999999999993 
silhouette,resnet18,subject-01,0.2040816326530612,0.47570932146476874,0.29589190863570086,0.5125,0.38749999999999996 
silhouette,resnet18,subject-02,0.11608391608391605,0.47570932146476874,0.16830662831068463,0.50625,0.44140625 
silhouette,resnet18,subject-03,0.14285714285714288,0.47570932146476874,0.20712433604499064,0.475,0.38749999999999996 
silhouette,resnet18,subject-04,0.17098445595854925,0.47570932146476874,0.24790529340099918,0.5,0.396875 
silhouette,resnet18,subject-05,0.15734720416124848,0.47570932146476874,0.22813304633303924,0.49375,0.39921874999999996 
silhouette,resnet18,subject-06,0.14438502673796788,0.47570932146476874,0.2093395695855787,0.5,0.415625 
silhouette,resnet18,subject-07,0.20626631853785898,0.47570932146476874,0.29905941992919005,0.525,0.40156250000000004 
silhouette,resnet18,subject-08,0.25212464589235123,0.47570932146476874,0.36554804916722133,0.5875,0.44843750000000004 
silhouette,resnet18,subject-09,0.17169069462647438,0.47570932146476874,0.24892924790728221,0.50625,0.40390625 
silhouette,resnet18,subject-10,0.14851485148514867,0.47570932146476874,0.21532728004677265,0.4625,0.3687499999999999 
silhouette,resnet34,subject-01,0.24892703862660948,0.47570932146476874,0.36091193319427556,0.5625,0.4175 
silhouette,resnet34,subject-02,0.3669064748201439,0.47570932146476874,0.5319668199141125,0.65625,0.45703125 
silhouette,resnet34,subject-03,0.20600858369098712,0.47570932146476874,0.29868573781595215,0.5375,0.4175 
silhouette,resnet34,subject-04,0.26167209554831705,0.47570932146476874,0.3793906133636256,0.575,0.42437499999999995 
silhouette,resnet34,subject-05,0.22679008984481364,0.47570932146476874,0.3288162274648356,0.55625,0.42609374999999994 
silhouette,resnet34,subject-06,0.310344827586207,0.47570932146476874,0.4499597645115315,0.6125,0.438125 
silhouette,resnet34,subject-07,0.27908246859639546,0.47570932146476874,0.4046333970687775,0.5875,0.4278125 
silhouette,resnet34,subject-08,0.3724578733294596,0.47570932146476874,0.5400156280266548,0.6625,0.4621875 
silhouette,resnet34,subject-09,0.2878663379895919,0.47570932146476874,0.41736886888057956,0.59375,0.42953125000000003 
silhouette,resnet34,subject-10,0.18238993710691825,0.47570932146476874,0.2644417623719063,0.5125,0.40374999999999994 
silhouette,resnet50,subject-01,0.30523917995444194,0.47570932146476874,0.4425572373808684,0.61875,0.45125 
silhouette,resnet50,subject-02,0.28624535315985117,0.47570932146476874,0.41501865103438623,0.625,0.47460937500000006 
silhouette,resnet50,subject-03,0.25968109339407747,0.47570932146476874,0.3765039183687985,0.59375,0.45125 
silhouette,resnet50,subject-04,0.32300631095811816,0.47570932146476874,0.468317273868794,0.63125,0.4553125 
silhouette,resnet50,subject-05,0.26426210662451494,0.47570932146476874,0.3831457936351722,0.6,0.45632812500000003 
silhouette,resnet50,subject-06,0.2894583576004659,0.47570932146476874,0.41967709091468974,0.61875,0.46343750000000006 
silhouette,resnet50,subject-07,0.34350705441981,0.47570932146476874,0.4980406940143152,0.64375,0.45734375000000005 
silhouette,resnet50,subject-08,0.3179778641938379,0.47570932146476874,0.4610266779870701,0.64375,0.47765625000000006 
silhouette,resnet50,subject-09,0.3076590220683686,0.47570932146476874,0.4460656947191337,0.625,0.45835937500000007 
silhouette,resnet50,subject-10,0.22558922558922545,0.47570932146476874,0.3270751299835035,0.56875,0.44312500000000005 
silhouette,resnet101,subject-01,0.2731277533039648,0.47570932146476874,0.395999831909806,0.5875,0.4325 
silhouette,resnet101,subject-02,0.2642335766423357,0.47570932146476874,0.38310442885985846,0.60625,0.46484375 
silhouette,resnet101,subject-03,0.20704845814977982,0.47570932146476874,0.3001934209638852,0.55,0.4325 
silhouette,resnet101,subject-04,0.2658509454949945,0.47570932146476874,0.3854494040080861,0.5875,0.438125 
silhouette,resnet101,subject-05,0.25285754112071385,0.47570932146476874,0.36661065223017736,0.58125,0.43953124999999993 
silhouette,resnet101,subject-06,0.318955732122588,0.47570932146476874,0.46244445970544446,0.625,0.44937499999999997 
silhouette,resnet101,subject-07,0.30687534935718286,0.47570932146476874,0.44492947088926726,0.6125,0.4409375 
silhouette,resnet101,subject-08,0.34078869923484406,0.47570932146476874,0.4940994314245716,0.65,0.4690625 
silhouette,resnet101,subject-09,0.2939198655085457,0.47570932146476874,0.4261456989572333,0.60625,0.44234375000000004 
silhouette,resnet101,subject-10,0.17926565874730038,0.47570932146476874,0.2599119638059172,0.525,0.4212499999999999 
silhouette,vgg11,subject-01,0.1121495327102804,0.47570932146476874,0.1626022825026095,0.40625,0.33125 
silhouette,vgg11,subject-02,0.08571428571428576,0.47570932146476874,0.12427460162699444,0.4625,0.412109375 
silhouette,vgg11,subject-03,0.05607476635514024,0.47570932146476874,0.0813011412513048,0.36875,0.33125 
silhouette,vgg11,subject-04,0.1121718377088306,0.47570932146476874,0.16263462185871586,0.41875,0.34531249999999997 
silhouette,vgg11,subject-05,0.11697660467906419,0.47570932146476874,0.16960091103863958,0.425,0.348828125 
silhouette,vgg11,subject-06,0.13216957605985033,0.47570932146476874,0.1916287498072107,0.45625,0.37343750000000003 
silhouette,vgg11,subject-07,0.14113389626055484,0.47570932146476874,0.20462585189487004,0.44375,0.35234375 
silhouette,vgg11,subject-08,0.23139377537212444,0.47570932146476874,0.33549097462226485,0.55625,0.42265625000000007 
silhouette,vgg11,subject-09,0.12674348089751353,0.47570932146476874,0.1837616153024991,0.4375,0.3558593750000001 
silhouette,vgg11,subject-10,0.09417040358744401,0.47570932146476874,0.136534876226967,0.36875,0.303125 
silhouette,vgg13,subject-01,0.1883767535070141,0.47570932146476874,0.2731218699751581,0.49375,0.37625 
silhouette,vgg13,subject-02,0.13633217993079577,0.47570932146476874,0.19766398574812588,0.5125,0.435546875 
silhouette,vgg13,subject-03,0.14829659318637278,0.47570932146476874,0.2150108338102308,0.46875,0.37625 
silhouette,vgg13,subject-04,0.19510952623535396,0.47570932146476874,0.28288351754285257,0.50625,0.38656250000000003 
silhouette,vgg13,subject-05,0.2019439826064713,0.47570932146476874,0.29279259320952555,0.5125,0.389140625 
silhouette,vgg13,subject-06,0.23036373220875053,0.47570932146476874,0.3339975455780843,0.54375,0.40718750000000004 
silhouette,vgg13,subject-07,0.20883637297713853,0.47570932146476874,0.30278566566453685,0.51875,0.39171875 
silhouette,vgg13,subject-08,0.2702778557395453,0.47570932146476874,0.3918678499240196,0.59375,0.44328125 
silhouette,vgg13,subject-09,0.19515026441377512,0.47570932146476874,0.2829425826199527,0.5125,0.3942968750000001 
silhouette,vgg13,subject-10,0.1367604267701261,0.47570932146476874,0.1982848881439435,0.44375,0.35562499999999997 
silhouette,vgg16,subject-01,0.13926499032882014,0.47570932146476874,0.2019161805931824,0.44375,0.35374999999999995 
silhouette,vgg16,subject-02,0.11050847457627117,0.47570932146476874,0.16022296096768424,0.4875,0.423828125 
silhouette,vgg16,subject-03,0.10058027079303684,0.47570932146476874,0.14582835265063182,0.41875,0.35374999999999995 
silhouette,vgg16,subject-04,0.14243469689502222,0.47570932146476874,0.20651184416905677,0.45625,0.36593749999999997 
silhouette,vgg16,subject-05,0.14819858858487067,0.47570932146476874,0.21486873984412244,0.4625,0.368984375 
silhouette,vgg16,subject-06,0.12865197334700154,0.47570932146476874,0.18652868192262867,0.46875,0.3903125 
silhouette,vgg16,subject-07,0.17392386165712861,0.47570932146476874,0.25216705057679495,0.48125,0.37203125000000004 
silhouette,vgg16,subject-08,0.23945990631027825,0.47570932146476874,0.3471858187273843,0.56875,0.43296875 
silhouette,vgg16,subject-09,0.15989498687335907,0.47570932146476874,0.2318270009514689,0.475,0.37507812500000004 
silhouette,vgg16,subject-10,0.11463187325256302,0.47570932146476874,0.16620135445921444,0.40625,0.3293749999999999 
silhouette,vgg19,subject-01,0.14913957934990443,0.47570932146476874,0.21623305445614704,0.44375,0.34624999999999995 
